,title,author,date,body,rating,airport,type_of_lounge,date_visit,type_of_traveller,comfort,cleanliness,bar_&_beverages,catering,washrooms,wifi_connectivity,staff_service,recommended,lounge_name
232,"""Stunning lounge""",P Walton,2011-05-01,Stunning lounge. Food excellent surroundings tranquil and very comfortable. The lounge features a wall of green live plants. Washrooms and showers spotless and amenities were first class. Dining was excellent panoramic view of aprons.,5,sydney airport,first class,,,5,5,5.0,5.0,5.0,4.0,5.0,no,
233,"""reasonable airside view""",Wasim Shaikh,2010-11-20,Pretty decent lounge with reasonable airside view. Food selection is limited and expected more in an international lounge. Fairly spacious. Fast internet access. Overall 3-Star standard.,4,brisbane airport,,,,4,5,4.0,3.0,4.0,5.0,4.0,no,
234,"""service was excellent""",Diane Lewthwaite,2010-09-06,Service was excellent. I had a long wait and after a very relaxing massage and shower I was tired. A member of staff spoke to me when I stirred just to check what flight I was on so he could wake me if I appeared to be sleeping through the flight boarding call. Could improve the amenities in the showers however for a first class lounge you expect female amenities rather than the more general ones.,5,sydney airport,first class,,,5,5,5.0,5.0,3.0,5.0,5.0,no,
235,"""staff are very friendly""",Steve Conroy,2010-09-01,As per previous comments - a small lounge which comfortably accommodates a full business/star class cabin and QF Club members. Not a lot is provided in the way of television entertainment however food and beverages are well stocked. Staff are very friendly and only too willing to help. Wi-Fi is confusing: as this lounge is shared with American Airlines it uses their pay- per-use wi-fi. This service is provided free to QF passengers. Talk to the desk staff who will provide you with details of how to log-in. This lounge certainly beats the cramped and uncomfortable departure lounges in HNL airport.,4,honolulu airport,business class,,business,4,5,4.0,4.0,5.0,2.0,5.0,no,
236,"""small but run by friendly staff""",Nicholas Janides,2010-08-28,Qantas Club at HNL is quite small but run by friendly staff who are available for assistance. The food and beverage areas are small but well stocked. I was there for a morning flight and was happy with the pastries cereal and fruits on offers.,5,honolulu airport,business class,,business,4,5,5.0,5.0,5.0,5.0,5.0,no,
237,"""cleanliness needed to be stepped up a notch""",David Martin,2010-08-04,Staff although helpful appeared to think keeping things clean was beneath them. The cleanliness of the place needed to be stepped up a notch for me. Quality of the food was average the fact they shut the coffee bar was completely odd. I was told to use a cheap vending machine? Range of wines and other beverages generally good.,3,sydney airport,business class,,business,3,2,3.0,3.0,3.0,4.0,3.0,no,
238,"""Incredibly quiet, everyone was whispering""",Rob Johnson,2010-07-04,A really small and uninviting lounge compared to the normal QF fare. Incredibly quiet - everyone was whispering! No TV internet. Almost no food (packets of chips only for most of my stay then a few sandwiches) and no staff noticed when the wine ran out. Why not use the BA lounge instead?,3,san francisco airport,business class,,business,2,3,3.0,3.0,2.0,2.0,3.0,no,
239,"""a clean and tidy lounge""",S Conroy,2010-07-02,A clean and tidy lounge - although by the time all eligible passengers are in the lounge it can be quite cramped and busy. It is operated by two staff who work hard when the lounge is full as it serves both JQ and QF flights including QC members traveling on JetStar economy. I recommend arriving early as access can be denied when the lounge hits peak capacity. There can be a lengthy queue to enter at times as there is only one person manning the reception desk and she must record your details manually as you enter. Food and beverage amenities are adequate. There is no television but there are 3 PC terminals. WiFi coverage is a bit confusing as most pax needing access needed staff assistance to log in. Overall a good lounge and an alternative to the bus shelter that is HNL terminal.,4,honolulu airport,business class,,business,4,5,4.0,4.0,5.0,3.0,4.0,no,
240,"""very limited selection of food""",L Norton,2010-02-01,Crowded. One main seating area mainly lounge seats with some cafe tables next to the bar but also separate areas to watch TV. Very limited selection of food although could purchase some cafe style meals. Complimentary vouchers (2/person) for drinks. There is a small children's room with electronic games and computer. Bathrooms located only at one end of lounge which seems a long way from TV areas. Only 2 computers were available on the evening we flew (other 2 out of action) which seems inadequate for such a busy lounge.,2,los angeles lax airport,business class,,business,3,3,3.0,1.0,2.0,1.0,2.0,no,
241,"""such a bad First Class lounge""",D Weiss,2010-01-23,Never in many years of travel have I experienced such a bad First Class lounge. Was there mid- morning no food selection to speak of just cereals. Plenty of champagne though. Tiny area with not enough seats for the 4-5 flights that leave around 11am. Received a very late boarding call resulting in us holding up the plane as it was ready to leave. Compared to most Qantas lounges in the world this was disgraceful. Qantas need to re-think how they treat their platinum members especially considering that this lounge also caters for the EVA air flight and JAL.,2,brisbane airport,first class,,,3,3,3.0,1.0,1.0,3.0,1.0,no,
242,"""lounge did the job well""",Alan Wan,2010-01-17,I was an Air New Zealand Business Class ticket holder and I was surprised the plane did not depart from T1 like most Star Alliance flights but discovered ANZ code share with JAL hence T2. Anyway I arrived from T1 on the inter terminal shuttle and asked at the transfer desk which lounge I could use and I was directed to the Qantas business lounge. I had a shower and used the internet stations. The choice of food was okay - nothing specatular. For a 30 minute use the lounge did the job well.,4,tokyo narita airport,business class,,business,4,5,3.0,3.0,5.0,4.0,5.0,no,
243,"""staff here are warm friendly and helpful""",A Donnellan,2009-12-04,I have written before extolling the virtues of this lounge and there are none better. Have just finished a delicious breakfast of eggs benedict with smoked trout two of the best lattes I have ever tasted and fresh OJ. The staff here are warm friendly and helpful. It is the best way to start a 14 hour flight to the US.,4,sydney airport,first class,,,5,5,5.0,5.0,4.0,3.0,4.0,no,
244,"""could have done with a good vacuum""",J Andrews,2009-11-10,To be honest the QF domestic Business class lounge is not much different from the QF Club. Aside from fewer people and prettier light fittings almost everything else is the same. The so-called Neil Perry signature food selection amounts to little more than a plate full of fancy party pies. The obligatorily QF Club carrot and celery sticks also adorned the Business class lounge buffet too. I visited the lounge mid-morning and it certainly could have done with a good vacuum clean. Also noted that the tiles in the male toilets had been stripped off revealing the besa-brick construction (very attractive!).,2,sydney airport,business class,,business,3,2,2.0,1.0,3.0,1.0,2.0,no,
245,"""the hype is better than the reality""",E Hochstatter,2009-10-06,I think this is the case where the hype is better than the reality. Whilst the Qantas First Class lounge in Sydney is very nice with its openness and design the lack of attention to detail lets it down. The first impression upon entering the main lounge - a dirty floor going up the escalator to the top floor. Toilets - not only was the floor filthy beyond belief but two out of the four toilet stalls were either not flushed or had excrement in them. When I informed reception of this they told me that they just had a lot of flights leaving. Is this suppose to be an excuse? If they knew this then someone should have been right on it. Nearly half of the computers did not work. One had a virus warning flashing on the screen! The restaurant had an excellent selection of food which was tasty and made to order. The wine selection was the best I have seen. Also the spa centre was brilliant! I had the best face and neck massage that I can recall. Although my wife was less impressed with her manicure. Overall this is a very good lounge but is let down by a lack of attention to detail.,4,sydney airport,first class,,,4,3,5.0,5.0,1.0,5.0,4.0,no,
246,"""friendly and enthusiastic staff""",Bill Atkin,2009-09-06,Friendly and enthusiastic staff good service clean and well maintained and plenty of space. Good food choices - all in all a sense of really being appreciated.,4,sydney airport,first class,,,5,5,4.0,4.0,4.0,5.0,4.0,no,
247,"""can get a little crowded""",Garth Freeman,2009-06-08,What a surprise compared to the hideous Admirals Club in Terminal 4. Hot meals (chilli con carne chicken stir fry etc with rice and noodles) choice of 3 beers good red and white wines and spirits bar. Plenty of PC's to catch up with emails courteous attentive staff. Great shower rooms although the water outlets need replacement. Plenty of space in a quiet relaxing environment. Can get a little crowded when 2 hours from 4 flights departing. Overall especially in terms of lounges in the US very good.,4,los angeles lax airport,business class,,business,5,4,5.0,5.0,4.0,4.0,4.0,no,
248,"""ambience is active but quiet""",T Newman,2009-05-31,The ambience is active but quiet. From the telephone call the day before asking us what time we would be arriving so the kurbside porter could help us with our luggage to the boarding of the plane all needs were met. My partner was wished a Happy Birthday from every staff member who met us at check in at the Lounge entrance and after our meal in the Lounge restaurant where my partner was presented with a small birthday platter of fruit. All this occurred by a mere mention of the event during my telephone conversation the day before.,5,sydney airport,first class,,,5,5,5.0,5.0,4.0,5.0,5.0,no,
249,"""lounge is immaculately maintained""",A Mitchell,2009-02-28,This lounge is immaculately maintained - as was stated previously can become somewhat irritating as they will pounce on a finished glass of drink or cleared plate - can't really complain though. The catering is slightly above basic with some hot foods and soups and the usual au dourves biscuits cheeses and anti pesto. There is no bar but rather a self serve fridge as in Melbourne and Sydney international business lounges and a few post-mixes dotted around the lounge. The wine-bar area and the open round tabled seating area near the main food area are great for socialising while the darker quite areas are adequate but the lounges are not as comfortable as they appear. Plus the big floor to ceiling windows which run around the far side of the lounge are great to watch the goings on of the terminal below. The showers are incredible probably the best I've seen in a non first lounge. On the downside the lounge as with QF/BA First Thai United Lounges a fair walk from the QF/BA gates and up a set of escalators and very hard to find. But it handles to steady flow of numbers very well and never feels full despite the time of day.,4,singapore changi airport,business class,,business,4,5,4.0,4.0,5.0,3.0,5.0,no,
250,"""staff were attentive and friendly""",A Donnellan,2009-02-07,The staff were attentive and friendly. As there is no airside pharmacy in Sydney international a staff member actually took my script had it filled at a pharmacy in another part of the airport had it cleared by security and delivered to my table. Now that's service! The menu is the restaurant is short sharp simple and of excellent quality. The facilities are great I like that you can choose to use either Mac or PC in this lounge. They have a very nice day spa hard to get into but when you do very much worth the effort. The bathrooms are not that great but you really are not there to spend too much time in there. It's wonderfully spacious with plenty of places to sit. The only annoying factor was the number of children in the lounge. All in all a great place. This lounge is the only reason that I will continue to use Qantas it's a great benefit for platinum frequent flyers- Qantas inflight service could learn a lot from this lounge.,5,sydney airport,first class,,,5,5,5.0,5.0,3.0,4.0,5.0,no,
251,"""very spacious with nice views""",J Roggeveen,2009-02-07,Sydney business lounge very spacious with nice views. Food quality good hot food offering of soup and meat pies a little disappointing but cold meats cheese were of a high standard and bread was fresh. Lounge feels too modern could do with some nice artwork to enliven the space. Nice light fixtures particularly at the large communal style wine bar. Plenty of room to relax and find privacy if needed. Nice mix of seating arrangements. Nice showers. Overall a pleasant pre flight experience.,4,sydney airport,business class,,business,4,4,4.0,3.0,4.0,5.0,4.0,no,
252,"""extremely warm temperature of the lounge""",B Stewart,2009-01-05,The renovated Qantas Club at Perth International is a vast improvement over the old one. It's looks and feels like the other Mark Newson designed Qantas lounges with the seemingly larger space punctuated with different areas serving different purposes. The toilet and shower facilities are also much improved while the food and drink on offer has not changed since the old days. The only major gripe would be the extremely warm temperature of the lounge which was acknowledged by the receptionist as being problematic.,4,perth airport,,,,4,5,3.0,3.0,4.0,5.0,4.0,no,
